@relation inflection_verbs
@attribute ending {ar,er,ir}
@attribute endingstem string
@attribute penSyl string
@attribute person {0, 1, 2, 3}
@attribute number {0, 1}
@attribute tense {0, 1, 2, 3, 4}
@attribute mood {0, 1, 2, 3}
@attribute suff1 string
@attribute suff2 string
@data
ar,d,NULL,1,1,4,0,daríamos,ANY
ar,d,NULL,2,1,4,0,daríais,ANY
ar,d,NULL,3,1,4,0,darían,ANY
ar,and,NULL,2,0,0,2,anda,ANY
ar,and,NULL,2,1,0,2,andad,ANY
ar,desand,NULL,2,0,0,2,desanda,ANY
ar,desand,NULL,2,1,0,2,desandad,ANY
ar,d,NULL,2,0,0,2,da,ANY
ar,d,NULL,2,1,0,2,dad,ANY
ar,and,NULL,0,0,0,3,andar,ANY
ar,desand,NULL,0,0,0,3,desandar,ANY
ar,d,NULL,0,0,0,3,dar,ANY
ar,and,NULL,0,0,1,3,andado,ANY
ar,desand,NULL,0,0,1,3,desandado,ANY
ar,d,NULL,0,0,1,3,dado,ANY
ar,and,NULL,0,0,2,3,andando,ANY
ar,desand,NULL,0,0,2,3,desandando,ANY
ar,d,NULL,0,0,2,3,dando,ANY
ar,and,NULL,1,0,0,1,ande,ANY
ar,and,NULL,2,0,0,1,andes,ANY
ar,and,NULL,3,0,0,1,ande,ANY
ar,and,NULL,1,1,0,1,andemos,ANY
ar,and,NULL,2,1,0,1,andéis,ANY
ar,and,NULL,3,1,0,1,anden,ANY
ar,desand,NULL,1,0,0,1,desande,ANY
ar,desand,NULL,2,0,0,1,desandes,ANY
ar,desand,NULL,3,0,0,1,desande,ANY
ar,desand,NULL,1,1,0,1,desandemos,ANY
ar,desand,NULL,2,1,0,1,desandéis,ANY
ar,desand,NULL,3,1,0,1,desanden,ANY
ar,d,NULL,1,0,0,1,dé,ANY
ar,d,NULL,2,0,0,1,des,ANY
ar,d,NULL,3,0,0,1,dé,ANY
ar,d,NULL,1,1,0,1,demos,ANY
ar,d,NULL,2,1,0,1,deis,ANY
ar,d,NULL,3,1,0,1,den,ANY
ar,and,NULL,1,0,1,1,anduviera,anduviese
ar,and,NULL,2,0,1,1,anduvieras,anduvieses
ar,and,NULL,3,0,1,1,anduviera,anduviese
ar,and,NULL,1,1,1,1,anduviéramos,anduviésemos
ar,and,NULL,2,1,1,1,anduvierais,anduvierais
ar,and,NULL,3,1,1,1,anduvieran,anduviesen
ar,desand,NULL,1,0,1,1,desanduviera,desanduviese
ar,desand,NULL,2,0,1,1,desanduvieras,desanduvieses
ar,desand,NULL,3,0,1,1,desanduviera,desanduviese
ar,desand,NULL,1,1,1,1,desanduviéramos,desanduviésemos
ar,desand,NULL,2,1,1,1,desanduvierais,desanduvierais
ar,desand,NULL,3,1,1,1,desanduvieran,desanduviesen
ar,d,NULL,1,0,1,1,diera,diese
ar,d,NULL,2,0,1,1,dieras,dieses
ar,d,NULL,3,0,1,1,diera,dieses
ar,d,NULL,1,1,1,1,diéramos,diésemos
ar,d,NULL,2,1,1,1,dierais,dieseis
ar,d,NULL,3,1,1,1,dieran,diesen
ar,and,NULL,1,0,2,1,anduviere,ANY
ar,and,NULL,2,0,2,1,anduvieres,ANY
